id,category,question,score,max_score,rating,kw_score,rel_score,len_score,ken_score,kw_matched,kw_missed,word_count,response_time,sources_found,sources,answer_preview
11,Financing,How do I apply for the Hustler Fund and what are the eligibility requirements?,5,5,Excellent,2,1,1,1,"Hustler Fund, M-PESA, national ID",,206,5.15,3,hustler_fund_personal_loan.pdf | hustler_fund_faq.pdf | cbk_finaccess_mse_tracker_2023.pdf,"# Hustler Fund Application Guide for Kenya MSMEs  ## Eligibility Requirements  To apply for the Hustler Fund, you must meet these criteria:  1. **Kenyan Citizen** - You must be a citizen of Kenya 2. *"
12,Financing,What loans does the Youth Enterprise Development Fund offer and who qualifies?,4,5,Good,1,1,1,1,"YEDF, youth, loan","18, 35",190,3.98,2,yedf_strategic_plan_2020_2024.pdf | yedf_about.txt,"# Youth Enterprise Development Fund (YEDF) - Loans & Eligibility  Based on the strategic plan document provided, I can confirm that **YEDF is a government initiative established under Legal Notice No."
13,Financing,How can a woman-owned business access the Women Enterprise Fund?,5,5,Excellent,2,1,1,1,"WEF, women, loan, fund",,208,3.81,1,wef_strategic_plan.pdf,"# How to Access the Women Enterprise Fund (WEF)  Based on the WEF Strategic Plan 2023-2027, here's what you need to know:  ## **Fund's Core Offerings**  The Women Enterprise Fund provides: - **Loans**"
14,Financing,What is the difference between the Hustler Fund personal loan and business loan?,5,5,Excellent,2,1,1,1,"Hustler Fund, personal, business, loan",,213,4.41,3,hustlerfund_personal_loan.txt | hustler_fund_faq.pdf | hustler_fund_personal_loan.pdf,"# Hustler Fund: Personal Loan vs Business Loan  Based on the available information, here are the key differences:  ## **Personal Loan Product** - **Purpose**: General personal financial needs and boos"
15,Financing,How do SACCOs offer loans differently from commercial banks in Kenya?,5,5,Excellent,2,1,1,1,"SACCO, bank, loan",interest,207,4.77,3,cbk_bank_supervision_annual_2024.pdf | cbk_msme_credit_survey_2022.pdf | knbs_msme_survey_2016_report.pdf,"# SACCOs vs Commercial Banks: Key Differences in Kenya  Based on the CBK data, here are the main differences:  ## **Loan Sources & Accessibility**  **SACCOs:** - Account for **10.0%** of credit demand"
16,Permits & Licenses,What is the Unified Business Permit in Nairobi and how do I apply?,5,5,Excellent,2,1,1,1,"Unified Business Permit, Nairobi, county",,225,4.04,4,doing_business_kenya_sme_guide_2024.pdf | doing_business_kenya_sectors.txt | doing_business_kenya_launch.txt | mombasa_business_permit_procedure.txt,# Unified Business Permit in Nairobi  ## What It Is  The Unified Business Permit is a single consolidated permit introduced by **Nairobi City County** that combines 5 separate permits into one:  1. Si
17,Permits & Licenses,What licenses does a food business in Kenya need to operate legally?,5,5,Excellent,2,1,1,1,"food, license, health",permit,228,5.55,3,business_registration_act_cap499.pdf | brs_registration_business_names_act.pdf | knbs_msme_survey_2016_report.pdf,"# Licenses Required for a Food Business in Kenya  Based on Kenyan regulatory requirements, a food business typically needs the following licenses:  ## 1. **Food Business License** - Issued by your **C"
18,Permits & Licenses,What happens if I operate a business without a county permit in Kenya?,4,5,Good,1,1,1,1,"permit, county","penalty, closure",242,6.44,1,nairobi_county_laws_business.txt,# Operating Without a County Permit in Kenya  Operating a business without a valid county permit is **a criminal offense** under Kenyan law. Here are the specific consequences:  ## Legal Penalties  1.
19,Social Security,How do I register my business and employees for NSSF in Kenya?,5,5,Excellent,2,1,1,1,"NSSF, register, employee, employer",,220,5.54,3,nssf_registration_forms.txt | nssf_faq.txt | nssf_employer_notice_2024.txt,"# NSSF Registration for Your Kenya Business  ## Employer Registration Process  As a business owner, you need to register your company with **NSSF** (National Social Security Fund). Here's how:  ### St"
20,Social Security,What is SHIF and how does it replace NHIF for my employees?,5,5,Excellent,2,1,1,1,"SHIF, NHIF, health, insurance",,222,5.38,2,knbs_msme_survey_2016_report.pdf | un_covid19_impact_msmes_kenya.pdf,"# SHIF and Employee Coverage in Kenya  Based on the context provided, I can see references to **NHIF (National Health Insurance Fund)** as a current employee benefit requirement, but **the documents d"
21,Social Security,What is the NITA levy and which businesses are required to pay it?,5,5,Excellent,2,1,1,1,"NITA, levy, training, employer",,205,4.88,1,nita_levy_inspectorate.txt,# NITA Training Levy: Overview  ## What is the NITA Levy?  The **NITA (National Industrial Training Authority) levy** is an **industrial training tax** that employers must pay to fund staff training a
22,Trade & Markets,How can a Kenyan MSME export products to other African countries under AfCFTA?,5,5,Excellent,2,1,1,1,"AfCFTA, export, Africa, trade",,362,7.18,3,unctad_kenya_msme_challenges_opportunities.pdf | kippra_afcfta_kenya.txt | ecommerce_africa_msme_research_2024.pdf,# Exporting to Africa Under AfCFTA: A Guide for Kenyan MSMEs  ## Key Steps to Get Started  ### 1. **Register and Obtain AfCFTA Certificate of Origin** - Contact the **Kenya Revenue Authority (KRA)** t
23,Trade & Markets,What services does KEPROBA offer to help Kenyan businesses export?,5,5,Excellent,2,1,1,1,"KEPROBA, export, branding, Kenya",,173,4.57,4,doing_business_kenya_launch.txt | doing_business_kenya_sectors.txt | keproba_trade_advisory.txt | unctad_kenya_msme_challenges_opportunities.pdf,"# KEPROBA Export Services for Kenyan Businesses  Based on the available information, **Kenya Export Promotion and Branding Agency (KEPROBA)** offers the following services:  ## Main Export Support Ser"
24,Trade & Markets,What preferential trade benefits does Kenya get from being in the EAC and COMESA?,5,5,Excellent,2,1,1,1,"EAC, COMESA, trade, tariff",,206,4.89,2,eac_tfta_press_release.txt | eac_trade_agreements.txt,"# Preferential Trade Benefits for Kenyan MSMEs: EAC & COMESA  Based on the available information, Kenya benefits from membership in both trading blocs, though the provided context has limited specific"
25,Digital Finance,How do I set up an M-Pesa Paybill or Till number for my business?,5,5,Excellent,2,1,1,1,"M-PESA, Paybill, Till, Safaricom",,206,5.69,4,kippra_county_business_environment_msmes.pdf | kenya_national_digital_masterplan_2022_2032.pdf | ecommerce_africa_msme_research_2024.pdf | gsma_state_mobile_money_report_2024.pdf,"# Setting Up M-Pesa for Your MSME in Kenya  Based on current practices, here's how to get M-Pesa merchant services:  ## **For a Paybill Number (Business Payments)**  1. **Visit Safaricom Customer Care"
26,Digital Finance,What is the difference between M-Pesa Paybill and Buy Goods Till?,5,5,Excellent,2,1,1,1,"Paybill, Buy Goods, Till, M-PESA",,197,4.65,3,kippra_county_business_environment_msmes.pdf | yedf_strategic_plan_2020_2024.pdf | tax_procedures_act_cap469b.pdf,"# M-Pesa Paybill vs Buy Goods Till  As a Kenya MSME advisor, here are the key differences relevant to your business:  ## **M-Pesa Paybill** - **Used for**: Bill payments to organizations (utilities, i"
27,Digital Finance,How do digital credit providers like mobile loan apps get regulated in Kenya?,5,5,Excellent,2,1,1,1,"CBK, digital credit, regulation, license",,214,4.48,3,cbk_digital_credit_supervision.txt | cbk_digital_credit_providers_regulations_2022.pdf | cbk_finaccess_mse_tracker_2023.pdf,# Digital Credit Provider Regulation in Kenya  ## Regulatory Framework  Digital Credit Providers (DCPs) in Kenya are **licensed and regulated by the Central Bank of Kenya (CBK)** under: - **Section 59
28,Sector-Specific,What licenses does a pharmacy or chemist shop need to operate in Kenya?,5,5,Excellent,2,1,1,1,"Pharmacy, Poisons Board, license, register",,230,4.38,4,ppb_premises_licensing_guide.txt | knbs_msme_survey_2016_report.pdf | doing_business_kenya_sectors.txt | doing_business_kenya_launch.txt,"# Pharmacy/Chemist Shop Licenses Required in Kenya  Based on Kenyan regulations, here are the key licenses and approvals needed:  ## Primary Regulatory Requirement  **Pharmacy and Poisons Board (PPB) "
29,Sector-Specific,What licenses does a tech startup need from the Communications Authority?,5,5,Excellent,2,1,1,1,"Communications Authority, license, tech, CA",,224,5.27,2,ca_telecom_market_structure_2024.pdf | ca_annual_report_2023_2024.pdf,"# Tech Startup Licenses from Communications Authority of Kenya  Based on the Communications Authority of Kenya (CAK) regulatory framework, the licenses you need depend on your **specific tech business"
30,Kiswahili,Ninawezaje kupata mkopo kutoka Hustler Fund na ninahitaji nini kustahili?,5,5,Excellent,2,1,1,1,"Hustler Fund, mkopo, M-PESA",,179,5.11,3,hustler_fund_faq.pdf | hustler_fund_personal_loan.pdf | cbk_finaccess_mse_tracker_2023.pdf,"# Jinsi ya Kupata Mkopo wa Hustler Fund  ## Mahitaji ya Kustahili (Eligibility Requirements)  Ili kustahili kwa mkopo wa Hustler Fund, lazima:  1. **Kuwa Mwenyeji wa Kenya** - Kenyan citizen of 18 yea"
